service_id,date,exception_type
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240727,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240728,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240729,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240730,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240731,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240801,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240802,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240803,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240804,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240805,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240806,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240807,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240808,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240809,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240810,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240811,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240812,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240813,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240814,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240815,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240816,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240817,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240818,1
